stage,hp,power,regen,damage_reduction,evade_chance,special_chance,special_damage,speed,special_chance_capped,special_damage_capped
43,269,33.6,4.22,0,0,0.1252,1.374,3.028,False,False
44,275,34.35,4.32,0,0,0.1258,1.382,3.024,False,False
45,281,35.1,4.42,0,0,0.1264,1.39,3.02,False,False
46,287,35.85,4.52,0,0,0.127,1.398,3.016,False,False
47,293,36.6,4.62,0,0,0.1276,1.406,3.012,False,False
48,299,37.35,4.72,0,0,0.1282,1.414,3.008,False,False
49,305,38.1,4.82,0,0,0.1288,1.422,3.004,False,False
50,311,38.85,4.92,0,0,0.1294,1.43,3.0,False,False
51,317,39.6,5.02,0,0,0.13,1.438,2.996,False,False
52,323,40.35,5.12,0,0,0.1306,1.446,2.992,False,False
53,329,41.1,5.22,0,0,0.1312,1.454,2.988,False,False
54,335,41.85,5.32,0,0,0.1318,1.462,2.984,False,False
55,341,42.6,5.42,0,0,0.1324,1.47,2.98,False,False
56,347,43.35,5.52,0,0,0.133,1.478,2.976,False,False
57,353,44.1,5.62,0,0,0.1336,1.486,2.972,False,False
58,359,44.85,5.72,0,0,0.1342,1.494,2.968,False,False
59,365,45.6,5.82,0,0,0.1348,1.502,2.964,False,False
60,371,46.35,5.92,0,0,0.1354,1.51,2.96,False,False
61,377,47.1,6.02,0,0,0.136,1.518,2.956,False,False
62,383,47.85,6.12,0,0,0.1366,1.526,2.952,False,False
63,389,48.6,6.22,0,0,0.1372,1.534,2.948,False,False
64,395,49.35,6.32,0,0,0.1378,1.542,2.944,False,False
65,401,50.1,6.42,0,0,0.1384,1.55,2.94,False,False
66,407,50.85,6.52,0,0,0.139,1.558,2.936,False,False
67,413,51.6,6.62,0,0,0.1396,1.566,2.932,False,False
68,419,52.35,6.72,0,0,0.1402,1.574,2.928,False,False
69,425,53.1,6.82,0,0,0.1408,1.582,2.924,False,False
70,431,53.85,6.92,0,0,0.1414,1.59,2.92,False,False
71,437,54.6,7.02,0,0,0.142,1.598,2.916,False,False
72,443,55.35,7.12,0,0,0.1426,1.606,2.912,False,False
73,449,56.1,7.22,0,0,0.1432,1.614,2.908,False,False
74,455,56.85,7.32,0,0,0.1438,1.622,2.904,False,False
75,461,57.6,7.42,0,0,0.1444,1.63,2.9,False,False
76,467,58.35,7.52,0,0,0.145,1.638,2.896,False,False
77,473,59.1,7.62,0,0,0.1456,1.646,2.892,False,False
78,479,59.85,7.72,0,0,0.1462,1.654,2.888,False,False
79,485,60.6,7.82,0,0,0.1468,1.662,2.884,False,False
80,491,61.35,7.92,0,0,0.1474,1.67,2.88,False,False
81,497,62.1,8.02,0,0,0.148,1.678,2.876,False,False
82,503,62.85,8.12,0,0,0.1486,1.686,2.872,False,False
83,509,63.6,8.22,0,0,0.1492,1.694,2.868,False,False
84,515,64.35,8.32,0,0,0.1498,1.702,2.864,False,False
85,521,65.1,8.42,0,0,0.1504,1.71,2.86,False,False
86,527,65.85,8.52,0,0,0.151,1.718,2.856,False,False
87,533,66.6,8.62,0,0,0.1516,1.726,2.852,False,False
88,539,67.35,8.72,0,0,0.1522,1.734,2.848,False,False
89,545,68.1,8.82,0,0,0.1528,1.742,2.844,False,False
90,551,68.85,8.92,0,0,0.1534,1.75,2.84,False,False
91,557,69.6,9.02,0,0,0.154,1.758,2.836,False,False
92,563,70.35,9.12,0,0,0.1546,1.766,2.832,False,False
93,569,71.1,9.22,0,0,0.1552,1.774,2.828,False,False
94,575,71.85,9.32,0,0,0.1558,1.782,2.824,False,False
95,581,72.6,9.42,0,0,0.1564,1.79,2.82,False,False
96,587,73.35,9.52,0,0,0.157,1.798,2.816,False,False
97,593,74.1,9.62,0,0,0.1576,1.806,2.812,False,False
98,599,74.85,9.72,0,0,0.1582,1.814,2.808,False,False
99,605,75.6,9.82,0,0,0.1588,1.822,2.804,False,False
100,611,76.35,9.92,0,0,0.1594,1.83,2.8,False,False
101,1789.3,208.17,12.525,0,0.01,0.16,1.838,2.796,False,False
102,1806.7,210.195,12.65,0,0.01,0.1606,1.846,2.792,False,False
103,1824.1,212.22,12.775,0,0.01,0.1612,1.854,2.788,False,False
104,1841.5,214.245,12.9,0,0.01,0.1618,1.862,2.784,False,False
105,1858.9,216.27,13.025,0,0.01,0.1624,1.87,2.78,False,False
106,1876.3,218.295,13.15,0,0.01,0.163,1.878,2.776,False,False
107,1893.7,220.32,13.275,0,0.01,0.1636,1.886,2.772,False,False
108,1911.1,222.345,13.4,0,0.01,0.1642,1.894,2.768,False,False
109,1928.5,224.37,13.525,0,0.01,0.1648,1.902,2.764,False,False
110,1945.9,226.395,13.65,0,0.01,0.1654,1.91,2.76,False,False
111,1963.3,228.42,13.775,0,0.01,0.166,1.918,2.756,False,False
112,1980.7,230.445,13.9,0,0.01,0.1666,1.926,2.752,False,False
113,1998.1,232.47,14.025,0,0.01,0.1672,1.934,2.748,False,False
114,2015.5,234.495,14.15,0,0.01,0.1678,1.942,2.744,False,False
115,2032.9,236.52,14.275,0,0.01,0.1684,1.95,2.74,False,False
116,2050.3,238.545,14.4,0,0.01,0.169,1.958,2.736,False,False
117,2067.7,240.57,14.525,0,0.01,0.1696,1.966,2.732,False,False
118,2085.1,242.595,14.65,0,0.01,0.1702,1.974,2.728,False,False
119,2102.5,244.62,14.775,0,0.01,0.1708,1.982,2.724,False,False
120,2119.9,246.645,14.9,0,0.01,0.1714,1.99,2.72,False,False
121,2137.3,248.67,15.025,0,0.01,0.172,1.998,2.716,False,False
122,2154.7,250.695,15.15,0,0.01,0.1726,2.006,2.712,False,False
123,2172.1,252.72,15.275,0,0.01,0.1732,2.014,2.708,False,False
124,2189.5,254.745,15.4,0,0.01,0.1738,2.022,2.704,False,False
125,2206.9,256.77,15.525,0,0.01,0.1744,2.03,2.7,False,False
126,2224.3,258.795,15.65,0,0.01,0.175,2.038,2.696,False,False
127,2241.7,260.82,15.775,0,0.01,0.1756,2.046,2.692,False,False
128,2259.1,262.845,15.9,0,0.01,0.1762,2.054,2.688,False,False
129,2276.5,264.87,16.025,0,0.01,0.1768,2.062,2.684,False,False
130,2293.9,266.895,16.15,0,0.01,0.1774,2.07,2.68,False,False
131,2311.3,268.92,16.275,0,0.01,0.178,2.078,2.676,False,False
132,2328.7,270.945,16.4,0,0.01,0.1786,2.086,2.672,False,False
133,2346.1,272.97,16.525,0,0.01,0.1792,2.094,2.668,False,False
134,2363.5,274.995,16.65,0,0.01,0.1798,2.102,2.664,False,False
135,2380.9,277.02,16.775,0,0.01,0.1804,2.11,2.66,False,False
136,2398.3,279.045,16.9,0,0.01,0.181,2.118,2.656,False,False
137,2415.7,281.07,17.025,0,0.01,0.1816,2.126,2.652,False,False
138,2433.1,283.095,17.15,0,0.01,0.1822,2.134,2.648,False,False
139,2450.5,285.12,17.275,0,0.01,0.1828,2.142,2.644,False,False
140,2467.9,287.145,17.4,0,0.01,0.1834,2.15,2.64,False,False
141,2485.3,289.17,17.525,0,0.01,0.184,2.158,2.636,False,False
142,2502.7,291.195,17.65,0,0.01,0.1846,2.166,2.632,False,False
143,2520.1,293.22,17.775,0,0.01,0.1852,2.174,2.628,False,False
144,2537.5,295.245,17.9,0,0.01,0.1858,2.182,2.624,False,False
145,2554.9,297.27,18.025,0,0.01,0.1864,2.19,2.62,False,False
146,2572.3,299.295,18.15,0,0.01,0.187,2.198,2.616,False,False
147,2589.7,301.32,18.275,0,0.01,0.1876,2.206,2.612,False,False
148,2607.1,303.345,18.4,0,0.01,0.1882,2.214,2.608,False,False
149,2624.5,305.37,18.525,0,0.01,0.1888,2.222,2.604,False,False
150,2657.7514,309.2394,18.7619,0,0.01,0.1894,2.23,2.6,False,False
151,2691.2116,313.133,19.0003,0,0.01,0.19,2.238,2.596,False,False
152,2724.8806,317.051,19.2402,0,0.01,0.1906,2.246,2.592,False,False
153,2758.7584,320.9933,19.4816,0,0.01,0.1912,2.254,2.588,False,False
154,2792.845,324.9599,19.7245,0,0.01,0.1918,2.262,2.584,False,False
155,2827.1404,328.9507,19.9689,0,0.01,0.1924,2.27,2.58,False,False
156,2861.6446,332.9659,20.2148,0,0.01,0.193,2.278,2.576,False,False
157,2896.3576,337.0054,20.4622,0,0.01,0.1936,2.286,2.572,False,False
158,2931.2794,341.0691,20.7111,0,0.01,0.1942,2.294,2.568,False,False
159,2966.41,345.1572,20.9615,0,0.01,0.1948,2.302,2.564,False,False
160,3001.7494,349.2696,21.2134,0,0.01,0.1954,2.31,2.56,False,False
161,3037.2976,353.4062,21.4668,0,0.01,0.196,2.318,2.556,False,False
162,3073.0546,357.5672,21.7217,0,0.01,0.1966,2.326,2.552,False,False
163,3109.0204,361.7525,21.9781,0,0.01,0.1972,2.334,2.548,False,False
164,3145.195,365.9621,22.236,0,0.01,0.1978,2.342,2.544,False,False
165,3181.5784,370.1959,22.4954,0,0.01,0.1984,2.35,2.54,False,False
166,3218.1706,374.4541,22.7563,0,0.01,0.199,2.358,2.536,False,False
167,3254.9716,378.7366,23.0187,0,0.01,0.1996,2.366,2.532,False,False
168,3291.9814,383.0433,23.2826,0,0.01,0.2002,2.374,2.528,False,False
169,3329.2,387.3744,23.548,0,0.01,0.2008,2.382,2.524,False,False
170,3366.6274,391.7298,23.8149,0,0.01,0.2014,2.39,2.52,False,False
171,3404.2636,396.1094,24.0833,0,0.01,0.202,2.398,2.516,False,False
172,3442.1086,400.5134,24.3532,0,0.01,0.2026,2.406,2.512,False,False
173,3480.1624,404.9417,24.6246,0,0.01,0.2032,2.414,2.508,False,False
174,3518.425,409.3942,24.8975,0,0.01,0.2038,2.422,2.504,False,False
175,3556.8964,413.8711,25.1719,0,0.01,0.2044,2.43,2.5,False,False
176,3595.5766,418.3723,25.4478,0,0.01,0.205,2.438,2.496,False,False
177,3634.4656,422.8978,25.7252,0,0.01,0.2056,2.446,2.492,False,False
178,3673.5634,427.4475,26.0041,0,0.01,0.2062,2.454,2.488,False,False
179,3712.87,432.0216,26.2845,0,0.01,0.2068,2.462,2.484,False,False
180,3752.3854,436.62,26.5664,0,0.01,0.2074,2.47,2.48,False,False
181,3792.1096,441.2426,26.8498,0,0.01,0.208,2.478,2.476,False,False
182,3832.0426,445.8896,27.1347,0,0.01,0.2086,2.486,2.472,False,False
183,3872.1844,450.5609,27.4211,0,0.01,0.2092,2.494,2.468,False,False
184,3912.535,455.2564,27.709,0,0.01,0.2098,2.5,2.464,False,True
185,3953.0944,459.9763,27.9984,0,0.01,0.2104,2.5,2.46,False,True
186,3993.8626,464.7205,28.2893,0,0.01,0.211,2.5,2.456,False,True
187,4034.8396,469.489,28.5817,0,0.01,0.2116,2.5,2.452,False,True
188,4076.0254,474.2817,28.8756,0,0.01,0.2122,2.5,2.448,False,True
189,4117.42,479.0988,29.171,0,0.01,0.2128,2.5,2.444,False,True
190,4159.0234,483.9402,29.4679,0,0.01,0.2134,2.5,2.44,False,True
191,4200.8356,488.8058,29.7663,0,0.01,0.214,2.5,2.436,False,True
192,4242.8566,493.6958,30.0662,0,0.01,0.2146,2.5,2.432,False,True
193,4285.0864,498.6101,30.3676,0,0.01,0.2152,2.5,2.428,False,True
194,4327.525,503.5487,30.6705,0,0.01,0.2158,2.5,2.424,False,True
195,4370.1724,508.5115,30.9749,0,0.01,0.2164,2.5,2.42,False,True
196,4413.0286,513.4987,31.2808,0,0.01,0.217,2.5,2.416,False,True
197,4456.0936,518.5102,31.5882,0,0.01,0.2176,2.5,2.412,False,True
198,4499.3674,523.5459,31.8971,0,0.01,0.2182,2.5,2.408,False,True
199,4542.85,528.606,32.2075,0,0.01,0.2188,2.5,2.404,False,True
200,4586.5414,533.6904,32.5194,0,0.01,0.2194,2.5,2.4,False,True
201,4630.4416,538.799,32.8328,0,0.01,0.22,2.5,2.396,False,True
202,4674.5506,543.932,33.1477,0,0.01,0.2206,2.5,2.392,False,True
203,4718.8684,549.0893,33.4641,0,0.01,0.2212,2.5,2.388,False,True
204,4763.395,554.2708,33.782,0,0.01,0.2218,2.5,2.384,False,True
205,4808.1304,559.4767,34.1014,0,0.01,0.2224,2.5,2.38,False,True
206,4853.0746,564.7069,34.4223,0,0.01,0.223,2.5,2.376,False,True
207,4898.2276,569.9614,34.7447,0,0.01,0.2236,2.5,2.372,False,True
208,4943.5894,575.2401,35.0686,0,0.01,0.2242,2.5,2.368,False,True
209,4989.16,580.5432,35.394,0,0.01,0.2248,2.5,2.364,False,True
210,5034.9394,585.8706,35.7209,0,0.01,0.2254,2.5,2.36,False,True
211,5080.9276,591.2222,36.0493,0,0.01,0.226,2.5,2.356,False,True
212,5127.1246,596.5982,36.3792,0,0.01,0.2266,2.5,2.352,False,True
213,5173.5304,601.9985,36.7106,0,0.01,0.2272,2.5,2.348,False,True
214,5220.145,607.4231,37.0435,0,0.01,0.2278,2.5,2.344,False,True
215,5266.9684,612.8719,37.3779,0,0.01,0.2284,2.5,2.34,False,True
216,5314.0006,618.3451,37.7138,0,0.01,0.229,2.5,2.336,False,True
217,5361.2416,623.8426,38.0512,0,0.01,0.2296,2.5,2.332,False,True
218,5408.6914,629.3643,38.3901,0,0.01,0.2302,2.5,2.328,False,True
219,5456.35,634.9104,38.7305,0,0.01,0.2308,2.5,2.324,False,True
220,5504.2174,640.4808,39.0724,0,0.01,0.2314,2.5,2.32,False,True
221,5552.2936,646.0754,39.4158,0,0.01,0.232,2.5,2.316,False,True
222,5600.5786,651.6944,39.7607,0,0.01,0.2326,2.5,2.312,False,True
223,5649.0724,657.3377,40.1071,0,0.01,0.2332,2.5,2.308,False,True
224,5697.775,663.0052,40.455,0,0.01,0.2338,2.5,2.304,False,True
225,5746.6864,668.6971,40.8044,0,0.01,0.2344,2.5,2.3,False,True
226,5795.8066,674.4133,41.1553,0,0.01,0.235,2.5,2.296,False,True
227,5845.1356,680.1538,41.5077,0,0.01,0.2356,2.5,2.292,False,True
228,5894.6734,685.9185,41.8616,0,0.01,0.2362,2.5,2.288,False,True
229,5944.42,691.7076,42.217,0,0.01,0.2368,2.5,2.284,False,True
230,5994.3754,697.521,42.5739,0,0.01,0.2374,2.5,2.28,False,True
231,6044.5396,703.3586,42.9323,0,0.01,0.238,2.5,2.276,False,True
232,6094.9126,709.2206,43.2922,0,0.01,0.2386,2.5,2.272,False,True
233,6145.4944,715.1069,43.6536,0,0.01,0.2392,2.5,2.268,False,True
234,6196.285,721.0175,44.0165,0,0.01,0.2398,2.5,2.264,False,True
235,6247.2844,726.9523,44.3809,0,0.01,0.2404,2.5,2.26,False,True
236,6298.4926,732.9115,44.7468,0,0.01,0.241,2.5,2.256,False,True
237,6349.9096,738.895,45.1142,0,0.01,0.2416,2.5,2.252,False,True
238,6401.5354,744.9027,45.4831,0,0.01,0.2422,2.5,2.248,False,True
239,6453.37,750.9348,45.8535,0,0.01,0.2428,2.5,2.244,False,True
240,6505.4134,756.9912,46.2254,0,0.01,0.2434,2.5,2.24,False,True
241,6557.6656,763.0718,46.5988,0,0.01,0.244,2.5,2.236,False,True
242,6610.1266,769.1768,46.9737,0,0.01,0.2446,2.5,2.232,False,True
243,6662.7964,775.3061,47.3501,0,0.01,0.2452,2.5,2.228,False,True
244,6715.675,781.4597,47.728,0,0.01,0.2458,2.5,2.224,False,True
245,6768.7624,787.6375,48.1074,0,0.01,0.2464,2.5,2.22,False,True
246,6822.0586,793.8397,48.4883,0,0.01,0.247,2.5,2.216,False,True
247,6875.5636,800.0662,48.8707,0,0.01,0.2476,2.5,2.212,False,True
248,6929.2774,806.3169,49.2546,0,0.01,0.2482,2.5,2.208,False,True
249,6983.2,812.592,49.64,0,0.01,0.2488,2.5,2.204,False,True
250,7037.3314,818.8914,50.0269,0,0.01,0.2494,2.5,2.2,False,True
251,7091.6716,825.215,50.4153,0,0.01,0.25,2.5,2.196,True,True
252,7146.2206,831.563,50.8052,0,0.01,0.25,2.5,2.192,True,True
253,7200.9784,837.9353,51.1966,0,0.01,0.25,2.5,2.188,True,True
254,7255.945,844.3318,51.5895,0,0.01,0.25,2.5,2.184,True,True
255,7311.1204,850.7527,51.9839,0,0.01,0.25,2.5,2.18,True,True
256,7366.5046,857.1979,52.3798,0,0.01,0.25,2.5,2.176,True,True
257,7422.0976,863.6674,52.7772,0,0.01,0.25,2.5,2.172,True,True
258,7477.8994,870.1611,53.1761,0,0.01,0.25,2.5,2.168,True,True
259,7533.91,876.6792,53.5765,0,0.01,0.25,2.5,2.164,True,True
260,7590.1294,883.2216,53.9784,0,0.01,0.25,2.5,2.16,True,True
261,7646.5576,889.7882,54.3818,0,0.01,0.25,2.5,2.156,True,True
262,7703.1946,896.3792,54.7867,0,0.01,0.25,2.5,2.152,True,True
263,7760.0404,902.9945,55.1931,0,0.01,0.25,2.5,2.148,True,True
264,7817.095,909.6341,55.601,0,0.01,0.25,2.5,2.144,True,True
265,7874.3584,916.2979,56.0104,0,0.01,0.25,2.5,2.14,True,True
266,7931.8306,922.9861,56.4213,0,0.01,0.25,2.5,2.136,True,True
267,7989.5116,929.6986,56.8337,0,0.01,0.25,2.5,2.132,True,True
268,8047.4014,936.4353,57.2476,0,0.01,0.25,2.5,2.128,True,True
269,8105.5,943.1964,57.663,0,0.01,0.25,2.5,2.124,True,True
270,8163.8074,949.9818,58.0799,0,0.01,0.25,2.5,2.12,True,True
271,8222.3236,956.7914,58.4983,0,0.01,0.25,2.5,2.116,True,True
272,8281.0486,963.6254,58.9182,0,0.01,0.25,2.5,2.112,True,True
273,8339.9824,970.4837,59.3396,0,0.01,0.25,2.5,2.108,True,True
274,8399.125,977.3663,59.7625,0,0.01,0.25,2.5,2.104,True,True
275,8458.4764,984.2731,60.1869,0,0.01,0.25,2.5,2.1,True,True
276,8518.0366,991.2043,60.6128,0,0.01,0.25,2.5,2.096,True,True
277,8577.8056,998.1598,61.0402,0,0.01,0.25,2.5,2.092,True,True
278,8637.7834,1005.1395,61.4691,0,0.01,0.25,2.5,2.088,True,True
279,8697.97,1012.1436,61.8995,0,0.01,0.25,2.5,2.084,True,True
280,8758.3654,1019.172,62.3314,0,0.01,0.25,2.5,2.08,True,True
281,8818.9696,1026.2246,62.7648,0,0.01,0.25,2.5,2.076,True,True
282,8879.7826,1033.3016,63.1997,0,0.01,0.25,2.5,2.072,True,True
283,8940.8044,1040.4029,63.6361,0,0.01,0.25,2.5,2.068,True,True
284,9002.035,1047.5285,64.074,0,0.01,0.25,2.5,2.064,True,True
285,9063.4744,1054.6783,64.5134,0,0.01,0.25,2.5,2.06,True,True
286,9125.1226,1061.8525,64.9543,0,0.01,0.25,2.5,2.056,True,True
287,9186.9796,1069.051,65.3967,0,0.01,0.25,2.5,2.052,True,True
288,9249.0454,1076.2737,65.8406,0,0.01,0.25,2.5,2.048,True,True
289,9311.32,1083.5208,66.286,0,0.01,0.25,2.5,2.044,True,True
290,9373.8034,1090.7922,66.7329,0,0.01,0.25,2.5,2.04,True,True
291,9436.4956,1098.0878,67.1813,0,0.01,0.25,2.5,2.036,True,True
292,9499.3966,1105.4078,67.6312,0,0.01,0.25,2.5,2.032,True,True
293,9562.5064,1112.7521,68.0826,0,0.01,0.25,2.5,2.028,True,True
294,9625.825,1120.1207,68.5355,0,0.01,0.25,2.5,2.024,True,True
295,9689.3524,1127.5135,68.9899,0,0.01,0.25,2.5,2.02,True,True
296,9753.0886,1134.9307,69.4458,0,0.01,0.25,2.5,2.016,True,True
297,9817.0336,1142.3722,69.9032,0,0.01,0.25,2.5,2.012,True,True
298,9881.1874,1149.8379,70.3621,0,0.01,0.25,2.5,2.008,True,True
299,9945.55,1157.328,70.8225,0,0.01,0.25,2.5,2.004,True,True
300,14768.3428,1164.8424,71.2844,0,0.01,0.25,2.5,2.0,True,True
